open,close,high,low,value,volume,begin,end
248.95,248.45,249.95,248.15,12375812.0,49730.0,2025-03-01,2025-03-01 23:59:56
248.45,247.05,248.85,247.0,17420558.5,70340.0,2025-03-02,2025-03-02 23:59:59
246.5,239.3,247.0,236.1,1211392882.5,5052860.0,2025-03-03,2025-03-03 23:59:52
239.6,248.7,249.95,239.6,1130183040.5,4617520.0,2025-03-04,2025-03-04 23:59:56
249.2,245.55,251.1,244.05,1346102006.5,5419450.0,2025-03-05,2025-03-05 23:59:55
246.5,243.15,247.55,242.35,421118890.0,1723970.0,2025-03-06,2025-03-06 23:59:51
243.2,242.0,246.6,238.8,612220682.5,2523570.0,2025-03-07,2025-03-07 23:59:55
242.0,239.75,243.95,239.05,387984016.5,1610170.0,2025-03-10,2025-03-10 23:59:56
239.8,240.8,242.8,236.9,624383479.0,2596210.0,2025-03-11,2025-03-11 23:59:55
241.0,240.35,242.9,238.75,264565375.0,1099670.0,2025-03-12,2025-03-12 23:59:55
240.35,244.7,248.0,237.5,1165062465.0,4820660.0,2025-03-13,2025-03-13 23:59:56
242.45,246.45,248.0,239.1,770087592.5,3171730.0,2025-03-14,2025-03-14 23:59:55
245.55,247.2,247.5,245.55,27040349.5,109460.0,2025-03-15,2025-03-15 23:59:56
246.45,249.5,250.0,246.1,58151370.5,234340.0,2025-03-16,2025-03-16 23:59:56
249.45,247.6,250.9,244.5,747842304.0,3017080.0,2025-03-17,2025-03-17 23:59:57
247.9,243.2,248.95,242.0,650611305.0,2647390.0,2025-03-18,2025-03-18 23:59:56
243.2,242.75,244.9,241.25,735711038.0,3025820.0,2025-03-19,2025-03-19 23:59:55
242.3,240.4,243.7,237.75,991893576.0,4125150.0,2025-03-20,2025-03-20 23:59:59
240.55,239.1,242.55,237.05,778937233.0,3246160.0,2025-03-21,2025-03-21 23:59:55
239.1,237.5,241.15,236.8,665157526.0,2785500.0,2025-03-24,2025-03-24 23:59:56
237.5,238.65,239.95,234.2,721097518.5,3046420.0,2025-03-25,2025-03-25 23:59:55
239.15,235.0,240.0,234.4,239608036.5,1011480.0,2025-03-26,2025-03-26 23:59:59
