open,close,high,low,value,volume,begin,end
229.79,226.4,230.04,226.25,1018526762.3,4469860.0,2020-01-03,2020-01-03 23:59:59
226.17,225.95,226.73,223.86,677927735.1,3014330.0,2020-01-06,2020-01-06 23:59:59
225.95,230.38,230.87,225.22,1280149397.6,5582550.0,2020-01-08,2020-01-08 23:59:59
231.0,231.0,232.7,230.24,1329177184.5,5739960.0,2020-01-09,2020-01-09 23:59:59
231.69,232.0,232.4,230.05,701109401.9,3026290.0,2020-01-10,2020-01-10 23:59:59
232.0,234.95,234.95,231.99,640975180.1,2743070.0,2020-01-13,2020-01-13 23:59:59
235.0,232.2,236.47,230.14,1291299030.4,5520290.0,2020-01-14,2020-01-14 23:59:59
232.0,230.16,232.8,230.02,1444214035.7,6242260.0,2020-01-15,2020-01-15 23:59:59
231.0,230.99,233.07,230.6,884873536.2,3822900.0,2020-01-16,2020-01-16 23:59:59
231.4,234.57,235.21,231.2,1379770487.5,5898670.0,2020-01-17,2020-01-17 23:59:59
235.18,238.5,238.7,234.59,1249800442.8,5276930.0,2020-01-20,2020-01-20 23:59:59
237.97,238.4,239.43,235.11,1070657367.5,4516590.0,2020-01-21,2020-01-21 23:59:59
239.88,236.5,241.24,235.63,1306195654.8,5475700.0,2020-01-22,2020-01-22 23:59:59
235.39,233.77,236.17,232.97,1496647312.6,6381510.0,2020-01-23,2020-01-23 23:59:59
235.0,234.61,236.29,233.73,876594306.8,3729960.0,2020-01-24,2020-01-24 23:59:59
232.3,228.51,232.4,227.0,1859351096.0,8112500.0,2020-01-27,2020-01-27 23:59:59
229.64,229.86,230.45,226.0,1117533381.2,4889290.0,2020-01-28,2020-01-28 23:59:59
230.55,231.39,232.23,230.15,933813678.8,4033990.0,2020-01-29,2020-01-29 23:59:59
230.48,229.63,230.48,228.24,815740389.7,3554910.0,2020-01-30,2020-01-30 23:59:59
230.99,227.1,231.3,222.23,1243067322.7,5443480.0,2020-01-31,2020-01-31 23:59:59
224.75,225.6,226.9,224.56,1366822455.8,6053630.0,2020-02-03,2020-02-03 23:59:59
226.27,226.9,227.64,225.77,1259562324.9,5557170.0,2020-02-04,2020-02-04 23:59:59
226.99,229.4,231.69,225.6,1541656104.7,6726570.0,2020-02-05,2020-02-05 23:59:59
231.0,229.54,231.65,228.45,1351920016.1,5873460.0,2020-02-06,2020-02-06 23:59:59
230.5,231.08,231.08,226.5,1309097953.7,5716320.0,2020-02-07,2020-02-07 23:59:59
231.0,231.8,232.85,229.71,1620550465.7,6997640.0,2020-02-10,2020-02-10 23:59:59
232.61,237.0,243.4,232.61,3343963548.7,14053290.0,2020-02-11,2020-02-11 23:59:59
237.4,235.6,238.8,233.25,2457809350.1,10437210.0,2020-02-12,2020-02-12 23:59:59
235.0,236.3,237.0,233.72,1112910427.1,4725660.0,2020-02-13,2020-02-13 23:59:59
236.97,232.87,236.99,232.33,1229582550.5,5260590.0,2020-02-14,2020-02-14 23:59:59
233.58,231.47,234.0,230.41,1100986965.1,4747280.0,2020-02-17,2020-02-17 23:59:59
230.39,228.14,231.05,225.75,2035599010.9,8910060.0,2020-02-18,2020-02-18 23:59:59
229.05,229.53,229.86,227.15,1253699214.5,5480700.0,2020-02-19,2020-02-19 23:59:59
230.0,229.9,231.7,229.6,892473469.4,3866550.0,2020-02-20,2020-02-20 23:59:59
229.0,230.91,231.33,228.12,902191775.5,3925400.0,2020-02-21,2020-02-21 23:59:59
