date,high,low,cache,share_count,amount_in_shares,overall_result,comission,tax,total_tax
2018-01-03,3421.5,3340.0,4261.54,86,294249.0,298510.54,138.46,0,0
2018-01-04,3501.0,3392.5,4261.54,86,301086.0,305347.54,138.46,0,0
2018-01-05,3569.5,3491.0,4261.54,86,306977.0,311238.54,138.46,0,0
2018-01-09,3647.5,3575.0,4261.54,86,312051.0,316312.54,138.46,0,0
2018-01-10,3649.0,3594.5,4261.54,86,313126.0,317387.54,138.46,0,0
2018-01-11,3689.5,3610.0,4261.54,86,317125.0,321386.54,138.46,0,0
2018-01-12,3942.0,3650.0,4261.54,86,336088.0,340349.54,138.46,0,0
2018-01-15,3985.0,3876.5,4261.54,86,333379.0,337640.54,138.46,0,0
2018-01-16,3897.0,3767.5,4261.54,86,332132.0,336393.54,138.46,0,0
2018-01-17,3868.5,3811.0,4261.54,86,331229.0,335490.54,138.46,0,0
2018-01-18,3890.0,3842.5,4261.54,86,331530.0,335791.54,138.46,0,0
2018-01-19,3885.5,3801.0,4261.54,86,328993.0,333254.54,138.46,0,0
2018-01-22,3871.0,3812.0,4261.54,86,332820.0,337081.54,138.46,0,0
2018-01-23,3870.0,3791.0,4261.54,86,330369.0,334630.54,138.46,0,0
2018-01-24,3852.5,3808.0,4261.54,86,331100.0,335361.54,138.46,0,0
2018-01-25,3860.0,3808.0,4261.54,86,328950.0,333211.54,138.46,0,0
2018-01-26,3828.0,3780.5,4261.54,86,328606.0,332867.54,138.46,0,0
2018-01-29,3830.5,3759.0,4261.54,86,324908.0,329169.54,138.46,0,0
2018-01-30,3816.0,3703.0,4261.54,86,319318.0,323579.54,138.46,0,0
2018-01-31,3759.0,3697.0,4261.54,86,320608.0,324869.54,138.46,0,0
2018-02-01,3762.5,3722.5,4261.54,86,323403.0,327664.54,138.46,0,0
2018-02-02,3798.0,3741.0,4261.54,86,326542.0,330803.54,138.46,0,0
2018-02-05,3787.5,3746.0,4261.54,86,322672.0,326933.54,138.46,0,0
2018-02-06,3718.0,3611.5,4261.54,86,314373.0,318634.54,138.46,0,0
2018-02-07,3754.0,3675.0,4261.54,86,321210.0,325471.54,138.46,0,0
2018-02-08,3750.5,3681.0,4261.54,86,316996.0,321257.54,138.46,0,0
2018-02-09,3679.5,3615.0,4261.54,86,311105.0,315366.54,138.46,0,0
2018-02-12,3682.5,3621.0,4261.54,86,314459.0,318720.54,138.46,0,0
2018-02-13,3737.0,3650.0,4261.54,86,320737.0,324998.54,138.46,0,0
2018-02-14,3751.5,3685.0,4261.54,86,318974.0,323235.54,138.46,0,0
2018-02-15,3767.0,3726.5,4261.54,86,320780.0,325041.54,138.46,0,0
2018-02-16,3819.0,3735.0,4261.54,86,322586.0,326847.54,138.46,0,0
2018-02-19,3778.0,3705.5,4261.54,86,319490.0,323751.54,138.46,0,0
2018-02-20,3744.0,3686.5,4261.54,86,321984.0,326245.54,138.46,0,0
2018-02-21,3819.0,3731.5,4261.54,86,327531.0,331792.54,138.46,0,0
2018-02-22,3836.0,3772.0,4261.54,86,329896.0,334157.54,138.46,0,0
2018-02-26,3899.0,3814.0,4261.54,86,330197.0,334458.54,138.46,0,0
2018-02-27,3855.5,3786.0,4261.54,86,330111.0,334372.54,138.46,0,0
2018-02-28,3832.5,3775.0,4261.54,86,324779.0,329040.54,138.46,0,0
