dividend declaration,closing registry,accounting year,dividend
15.07.2024,17.07.2024,2024,0.52
24.05.2023,19.07.2023,2023,0.41
24.05.2021,15.07.2021,2021,0.31
18.05.2020,16.07.2020,2020,0.13
01.04.2019,18.07.2019,2019,0.11
21.05.2018,19.07.2018,2018,0.11
16.10.2017,08.12.2017,2017,0.68
03.04.2017,13.07.2017,2017,0.81
08.08.2016,07.10.2016,2016,0.38
18.04.2016,14.07.2016,2016,0.67
20.04.2015,16.07.2015,2015,0.47
21.04.2014,17.07.2014,2014,2.06
23.04.2013,20.05.2013,2013,0.96
25.04.2012,21.05.2012,2012,0.28
21.04.2011,18.05.2011,2011,0.26
22.04.2010,14.05.2010,2010,0.055
29.04.2008,17.05.2008,2008,0.25
28.05.2007,12.05.2007,2007,0.048
15.05.2006,15.05.2006,2006,0.028
16.05.2005,16.05.2005,2005,0.026
29.06.2004,01.08.2004,2004,0.0185
