dividend declaration,closing registry,accounting year,dividend
31.05.2019,05.07.2019,2019,2.69
30.05.2018,06.07.2018,2018,12.81
26.05.2017,14.07.2017,2017,17.48
19.05.2014,08.07.2014,2014,2.5
22.05.2013,06.05.2013,2013,1.16
22.05.2012,10.05.2012,2012,1.81
06.04.2011,11.05.2011,2011,1.09
05.05.2010,04.05.2010,2010,0.3497
28.05.2009,05.05.2009,2009,0.1818
25.04.2008,05.05.2008,2008,1.37
08.05.2007,07.05.2007,2007,1.29
27.04.2006,29.04.2006,2006,0.82
28.04.2005,30.04.2005,2005,0.7
27.04.2004,19.04.2004,2004,0.43
01.04.2003,07.03.2003,2003,0.29
29.04.2002,05.04.2002,2002,0.06
10.04.2001,20.03.2001,2001,0.03
27.06.2000,26.04.2000,2000,0.01
