dividend declaration,closing registry,accounting year,dividend
27.08.2021,10.09.2021,2021,65.37
24.03.2021,16.04.2021,2021,79.6
11.09.2020,18.09.2020,2020,14.21
06.04.2020,17.04.2020,2020,24.3
02.09.2019,13.09.2019,2019,12.68
29.04.2019,01.05.2019,2019,25.14
29.08.2018,14.09.2018,2018,8.14
03.04.2018,13.04.2018,2018,16.7
18.08.2017,14.09.2017,2017,13.55
24.03.2017,13.04.2017,2017,33.03
26.08.2016,23.09.2016,2016,14.88
29.03.2016,27.05.2016,2016,39.62
01.09.2015,02.10.2015,2015,15.21
14.04.2015,22.05.2015,2015,23.92
