dividend declaration,closing registry,accounting year,dividend
17.04.2024,19.05.2024,2024,427
03.02.2022,09.03.2022,2022,240
11.11.2021,14.12.2021,2021,720
07.09.2021,11.10.2021,2021,30
06.05.2021,08.06.2021,2021,30
07.05.2020,09.06.2020,2020,275
12.03.2020,14.04.2020,2020,157
06.11.2019,11.12.2019,2019,101
07.05.2019,11.06.2019,2019,135
15.02.2019,22.03.2019,2019,130
27.09.2018,30.10.2018,2018,40
01.06.2018,14.06.2018,2018,185
21.12.2017,23.01.2018,2017,112
17.08.2017,26.09.2017,2017,235
23.06.2017,11.07.2017,2017,95
18.08.2016,20.09.2016,2016,155
25.04.2016,14.06.2016,2016,180
20.04.2015,02.06.2015,2015,139
28.04.2014,09.06.2014,2014,152
04.04.2013,11.04.2013,2013,64
08.11.2012,12.11.2012,2012,46
03.05.2012,01.08.2012,2012,46
30.08.2011,01.09.2011,2011,129
05.04.2011,08.04.2011,2011,40
26.04.2010,09.04.2010,2010,25
12.08.2008,12.08.2008,2008,40
12.05.2008,12.05.2008,2008,40
28.04.2008,14.04.2008,2008,40
01.11.2007,02.11.2007,2007,12
15.08.2007,16.08.2007,2007,13
23.04.2007,10.04.2007,2007,13
