dividend declaration,closing registry,accounting year,dividend
27.08.2024,19.10.2024,2024,2.49
16.04.2024,31.05.2024,2024,2.02
29.08.2023,18.10.2023,2023,3.77
31.08.2021,19.10.2021,2021,8.79
28.04.2021,04.07.2021,2021,9.54
07.05.2020,13.07.2020,2020,2.63
27.08.2019,14.10.2019,2019,3.84
25.04.2019,15.07.2019,2019,4.11
07.08.2018,15.10.2018,2018,5.93
04.05.2018,14.07.2018,2018,5.24
25.04.2017,20.07.2017,2017,8.93
05.05.2016,19.07.2016,2016,2.09
23.04.2015,15.07.2015,2015,1.47
24.04.2014,18.07.2014,2014,1.47
26.04.2013,11.05.2013,2013,1.11
24.04.2012,11.05.2012,2012,1.01
