dividend declaration,closing registry,accounting year,dividend
21.10.2024,02.12.2024,2024,20
22.08.2024,06.10.2024,2024,10
22.04.2024,08.07.2024,2024,10
27.05.2024,08.07.2024,2024,10
30.10.2023,09.12.2023,2023,19
08.08.2023,22.09.2023,2023,16
06.06.2023,11.07.2023,2023,10
01.11.2022,18.12.2022,2022,15
08.08.2022,11.09.2022,2022,15
06.07.2022,11.07.2022,2022,8
03.11.2021,20.12.2021,2021,4
18.08.2021,21.09.2021,2021,4
23.04.2021,11.07.2021,2021,5
31.05.2021,11.07.2021,2021,4
16.07.2020,11.09.2020,2020,5
11.06.2010,21.06.2010,2010,3.77
