dividend declaration,closing registry,accounting year,dividend
20.11.2024,02.12.2024,2024,49.57
16.08.2024,02.10.2024,2024,34.7
12.04.2024,29.05.2024,2024,33.46
06.10.2023,23.11.2023,2023,57
10.08.2023,25.09.2023,2023,47.08
10.08.2023,25.09.2023,2023,47
07.04.2023,22.05.2023,2023,26.02
30.12.2022,14.02.2023,2022,7.54
30.12.2022,14.02.2023,2022,31.66
12.10.2022,28.11.2022,2022,17.34
28.10.2021,12.12.2021,2021,18.59
28.07.2021,06.09.2021,2021,24.78
23.03.2021,26.04.2021,2021,18.59
06.11.2020,22.12.2020,2020,24.78
05.08.2020,21.09.2020,2020,24.78
17.04.2020,02.06.2020,2020,6.2
12.03.2020,27.04.2020,2020,24.78
09.10.2019,25.11.2019,2019,11.16
24.07.2019,09.09.2019,2019,8.67
22.05.2019,25.06.2019,2019,11.15
21.03.2019,03.05.2019,2019,24.78
24.05.2018,08.07.2018,2018,6.2
29.11.2017,09.01.2018,2017,6.2
