dividend declaration,closing registry,accounting year,dividend
28.05.2024,12.07.2024,2024,249.69
18.05.2023,07.07.2023,2023,199.89
07.06.2022,11.07.2022,2022,117.29
25.05.2021,14.07.2021,2021,0.1
15.05.2020,06.07.2020,2020,107.81
07.05.2019,24.06.2019,2019,158.95
23.05.2018,09.07.2018,2018,158.95
27.10.2017,12.12.2017,2017,148.31
26.05.2017,12.07.2017,2017,0.1
23.06.2016,15.07.2016,2016,164
28.05.2015,17.07.2015,2015,113
23.04.2014,23.06.2014,2014,211
23.10.2013,05.11.2013,2013,199
30.04.2013,15.05.2013,2013,24
24.04.2012,15.05.2012,2012,99
