dividend declaration,closing registry,accounting year,dividend
27.06.2024,12.07.2024,2024,0.67
15.06.2023,14.07.2023,2023,0.033
27.12.2022,13.01.2023,2022,0.509
30.06.2022,15.07.2022,2022,0.4118
27.12.2021,13.01.2022,2021,1.02
30.06.2021,15.07.2021,2021,0.264
25.09.2020,09.10.2020,2020,0.782
03.06.2019,10.07.2019,2019,0.629
01.06.2018,10.07.2018,2018,0.365
16.06.2017,11.07.2017,2017,0.339
01.06.2016,22.06.2016,2016,0.55
27.04.2015,22.06.2015,2015,0.323
24.04.2014,20.06.2014,2014,0.345
23.04.2013,25.04.2013,2013,0.4
22.02.2012,20.04.2012,2012,0.284
21.02.2011,22.04.2011,2011,0.262
