dividend declaration,closing registry,accounting year,dividend
23.08.2024,30.09.2024,2024,27.26
21.03.2024,06.05.2024,2024,23.37
18.08.2023,09.10.2023,2023,19.08
23.03.2023,10.05.2023,2023,21.16
15.07.2022,29.08.2022,2022,11.81
09.04.2021,07.06.2021,2021,4.56
22.10.2020,11.12.2020,2020,3.33
04.04.2019,10.06.2019,2019,3.71
06.04.2018,04.06.2018,2018,1.62
24.03.2017,31.05.2017,2017,1.05
31.05.2016,07.06.2016,2016,1.05
27.04.2015,03.07.2015,2015,2.02
22.04.2014,07.07.2014,2014,0.11
31.01.2013,07.03.2013,2013,0.11
01.03.2012,11.03.2012,2012,0.11
24.03.2011,10.03.2011,2011,0.11
25.03.2010,10.03.2010,2010,0.11
20.03.2009,10.03.2009,2009,0.11
