dividend declaration,closing registry,accounting year,dividend
21.10.2024,17.12.2024,2024,49.06
22.07.2024,10.09.2024,2024,31.06
23.04.2024,18.06.2024,2024,38.3
02.02.2024,18.06.2024,2024,191.51
18.10.2021,14.12.2021,2021,85.93
16.07.2021,02.09.2021,2021,84.45
16.04.2021,01.06.2021,2021,46.77
04.02.2021,01.06.2021,2021,36.27
22.10.2020,08.12.2020,2020,37.34
23.07.2020,08.09.2020,2020,15.44
23.04.2020,16.06.2020,2020,27.35
30.01.2020,16.06.2020,2020,26.26
17.10.2019,03.12.2019,2019,27.47
18.07.2019,17.09.2019,2019,26.72
18.04.2019,18.06.2019,2019,35.43
04.02.2019,07.05.2019,2019,32.08
18.10.2018,04.12.2018,2018,44.39
18.07.2018,25.09.2018,2018,45.94
17.04.2018,19.06.2018,2018,38.32
02.02.2018,19.06.2018,2018,27.72
17.10.2017,05.12.2017,2017,35.61
20.07.2017,26.09.2017,2017,22.28
19.04.2017,20.06.2017,2017,24.44
01.02.2017,20.06.2017,2017,27.73
25.10.2016,13.12.2016,2016,24.96
21.07.2016,16.09.2016,2016,19.66
20.04.2016,05.07.2016,2016,8.25
02.02.2016,05.07.2016,2016,20.27
22.10.2015,21.12.2015,2015,13.17
23.07.2015,28.09.2015,2015,12.63
22.04.2015,05.06.2015,2015,12.81
17.02.2015,05.06.2015,2015,14.65
10.10.2014,25.11.2014,2014,54.46
30.07.2014,22.09.2014,2014,2.14
30.04.2014,23.06.2014,2014,2.43
25.02.2014,23.06.2014,2014,3.83
21.10.2013,31.10.2013,2013,2.01
18.07.2013,12.08.2013,2013,2.03
16.05.2013,26.04.2013,2013,0.43
28.02.2013,26.04.2013,2013,1.89
30.10.2012,09.11.2012,2012,3.18
27.07.2012,10.08.2012,2012,1.52
22.05.2012,15.05.2012,2012,4.07
17.04.2012,15.05.2012,2012,3.56
03.11.2011,15.11.2011,2011,3.36
23.08.2011,24.08.2011,2011,4.37
12.05.2011,22.05.2011,2011,3.9
02.03.2011,22.05.2011,2011,2.42
09.11.2010,12.11.2010,2010,4.29
17.11.2008,14.11.2008,2008,7.17
28.08.2008,20.08.2008,2008,18.35
19.05.2008,15.05.2008,2008,5.2
12.03.2008,15.05.2008,2008,4
23.11.2007,14.11.2007,2007,2.5
03.09.2007,20.08.2007,2007,10
28.05.2007,18.05.2007,2007,2.6
02.04.2007,26.04.2007,2007,5
15.11.2006,16.11.2006,2006,2
09.08.2006,07.08.2006,2006,3.6
25.04.2006,21.04.2006,2006,4
21.10.2005,19.10.2005,2005,3
05.08.2005,04.08.2005,2005,3.9
