dividend declaration,closing registry,accounting year,dividend
30.08.2022,11.10.2022,2022,51.03
20.05.2021,15.07.2021,2021,12.55
22.05.2020,16.07.2020,2020,15.24
11.04.2019,18.07.2019,2019,16.61
16.05.2018,19.07.2018,2018,8.04
13.04.2017,20.07.2017,2017,8.04
14.04.2016,20.07.2016,2016,7.89
15.05.2015,16.07.2015,2015,7.2
15.05.2014,17.07.2014,2014,7.2
05.02.2013,13.05.2013,2013,5.99
06.02.2012,10.05.2012,2012,8.97
04.02.2011,12.05.2011,2011,3.85
16.04.2010,07.05.2010,2010,2.39
23.04.2009,08.05.2009,2009,0.36
15.04.2008,08.05.2008,2008,2.66
22.05.2007,11.05.2007,2007,2.54
20.04.2006,12.05.2006,2006,1.5
