dividend declaration,closing registry,accounting year,dividend
14.08.2024,29.09.2024,2024,142.11
19.02.2024,07.04.2024,2024,205.38
17.08.2023,01.10.2023,2023,118.43
17.11.2022,12.12.2022,2022,148.05
17.08.2021,03.10.2021,2021,85.27
03.03.2021,05.04.2021,2021,13.58
11.02.2021,05.04.2021,2021,120.42
19.08.2020,05.10.2020,2020,48.79
13.02.2020,07.04.2020,2020,60.92
21.08.2019,07.10.2019,2019,48.79
14.02.2019,07.04.2019,2019,101.63
22.08.2018,08.10.2018,2018,20.48
15.02.2018,03.04.2018,2018,75.07
02.10.2017,07.10.2017,2017,59.82
12.04.2017,01.05.2017,2017,13.65
27.04.2016,03.05.2016,2016,22.75
20.08.2015,09.10.2015,2015,22.75
09.04.2015,17.04.2015,2015,54.6
15.09.2014,21.11.2014,2014,34.44
