dividend declaration,closing registry,accounting year,dividend
03.11.2023,26.12.2023,2023,9.15
22.04.2022,14.06.2022,2022,11.66
23.11.2021,14.01.2022,2021,15.23
09.04.2021,01.06.2021,2021,10.21
03.11.2020,24.12.2020,2020,6.23
07.04.2020,25.05.2020,2020,5.57
11.11.2019,27.12.2019,2019,6.04
20.08.2019,07.10.2019,2019,8.84
26.04.2019,21.06.2019,2019,7.93
14.08.2018,01.10.2018,2018,7.76
25.05.2018,17.07.2018,2018,6.08
25.08.2017,19.10.2017,2017,2.24
28.04.2017,23.06.2017,2017,4.46
11.11.2016,28.12.2016,2016,4.44
28.04.2016,21.06.2016,2016,2.3
10.11.2015,30.12.2015,2015,3.22
04.08.2015,25.09.2015,2015,3.05
10.04.2015,25.05.2015,2015,6.7
31.10.2014,22.12.2014,2014,7.62
25.04.2014,17.06.2014,2014,2.48
25.10.2013,01.11.2013,2013,2.21
19.04.2013,30.04.2013,2013,4.01
21.05.2012,24.05.2012,2012,1.96
06.04.2011,16.05.2011,2011,1.8
27.05.2010,21.05.2010,2010,2.1
26.05.2008,26.05.2008,2008,1.12
02.11.2007,13.11.2007,2007,1.08
05.06.2007,15.05.2007,2007,1.2
06.10.2006,05.10.2006,2006,0.56
02.06.2006,15.05.2006,2006,0.5349
31.10.2005,11.11.2005,2005,0.386
09.06.2005,12.05.2005,2005,0.2513
11.10.2004,08.10.2004,2004,0.3716
