dividend declaration,closing registry,accounting year,dividend
27.05.2022,11.07.2022,2022,0.3748
08.06.2021,11.07.2021,2021,0.3689
03.09.2020,11.10.2020,2020,0.4942
29.10.2019,10.12.2019,2019,0.0882
08.07.2019,17.08.2019,2019,0.0882
30.04.2019,16.06.2019,2019,0.142
04.02.2019,17.03.2019,2019,0.154
24.10.2018,11.12.2018,2018,0.1381
04.06.2018,01.08.2018,2018,0.1379
15.05.2018,26.06.2018,2018,0.2095
16.03.2018,25.03.2018,2018,0.119
27.10.2017,11.12.2017,2017,0.202
31.12.1899,10.09.2017,2017,0.1198
29.05.2017,11.07.2017,2017,0.1634
25.10.2016,04.12.2016,2016,0.4758
27.05.2016,18.07.2016,2016,0.105
18.05.2015,15.07.2015,2015,0.00053
26.05.2014,20.07.2014,2014,0.0175
20.05.2013,24.05.2013,2013,0.1022
25.05.2012,23.05.2012,2012,0.1388
