dividend declaration,closing registry,accounting year,dividend
02.06.2023,11.07.2023,2023,0.0503
14.06.2022,10.07.2022,2022,0.053
28.05.2021,10.07.2021,2021,0.053
08.09.2020,10.10.2020,2020,0.0357
29.05.2019,09.07.2019,2019,0.0367
28.05.2018,07.07.2018,2018,0.0263
24.05.2017,10.07.2017,2017,0.0466
13.05.2016,08.07.2016,2016,0.0389
13.05.2015,07.07.2015,2015,0.0156
16.05.2014,08.07.2014,2014,0.0136
20.05.2013,23.05.2013,2013,0.0095561
23.05.2012,24.05.2012,2012,0.0078932
16.05.2011,23.05.2011,2011,0.0086009
