dividend declaration,closing registry,accounting year,dividend
25.11.2024,03.12.2024,2024,7
04.04.2024,27.05.2024,2024,15
30.10.2023,12.12.2023,2023,14
27.03.2023,22.05.2023,2023,35
05.08.2022,03.10.2022,2022,15
23.03.2022,23.05.2022,2022,17.4
29.10.2021,22.12.2021,2021,10
22.03.2021,11.05.2021,2021,6.85
14.11.2019,29.12.2019,2019,1
05.08.2019,23.09.2019,2019,1
26.03.2019,07.05.2019,2019,5
06.11.2018,23.12.2018,2018,2
23.03.2018,10.05.2018,2018,2
31.10.2017,08.01.2018,2017,1
26.09.2017,08.10.2017,2017,1
02.05.2017,10.05.2017,2017,1
24.10.2016,18.12.2016,2016,1
25.07.2016,02.10.2016,2016,1
24.03.2016,04.05.2016,2016,2.8
24.07.2015,02.10.2015,2015,0.7
26.03.2015,05.05.2015,2015,2
07.11.2014,29.12.2014,2014,0.5
04.08.2014,03.10.2014,2014,0.5
28.03.2014,12.05.2014,2014,1
31.10.2013,05.11.2013,2013,1
30.07.2013,02.08.2013,2013,1
11.03.2013,11.03.2013,2013,1.25
31.10.2012,05.11.2012,2012,1
30.07.2012,10.08.2012,2012,1
27.03.2012,11.03.2012,2012,2.3
