dividend declaration,closing registry,accounting year,dividend
25.04.2024,10.06.2024,2024,1.33
17.04.2023,02.06.2023,2023,1.13
15.04.2022,02.06.2022,2022,0.8466
26.04.2021,08.06.2021,2021,0.6471
28.04.2020,17.06.2020,2020,0.6065
22.05.2019,10.07.2019,2019,0.455
21.05.2018,03.07.2018,2018,0.5072
21.04.2017,13.06.2017,2017,0.4443
04.05.2016,15.06.2016,2016,0.7667
12.08.2015,09.10.2015,2015,0.2772
19.04.2013,16.04.2013,2013,0.5841
19.04.2011,29.04.2011,2011,0.5113
19.05.2010,18.05.2010,2010,0.3471
15.05.2009,13.05.2009,2009,0.6722
