dividend declaration,closing registry,accounting year,dividend
24.05.2024,09.07.2024,2024,6.22
26.05.2023,11.07.2023,2023,9.1
24.05.2022,11.07.2022,2022,3.97
06.08.2021,20.09.2021,2021,5.75
22.03.2021,06.05.2021,2021,3.36
16.03.2020,10.07.2020,2020,4.55
19.03.2019,06.05.2019,2019,7.79
03.05.2018,18.06.2018,2018,4.25
10.03.2017,24.04.2017,2017,5.07
22.03.2016,12.05.2016,2016,3.23
26.03.2015,19.05.2015,2015,1.01
25.03.2014,13.05.2014,2014,0.3458
19.03.2013,15.03.2013,2013,0.5353
02.05.2012,03.05.2012,2012,0.06
