dividend declaration,closing registry,accounting year,dividend
20.05.2024,02.07.2024,2024,0.4249
15.05.2023,27.06.2023,2023,0.0588
29.11.2022,08.01.2023,2022,0.4435
04.05.2022,10.06.2022,2022,0.3479
21.05.2021,29.06.2021,2021,0.2626
06.05.2020,11.06.2020,2020,0.0947
21.05.2019,01.07.2019,2019,0.0352
11.05.2018,19.06.2018,2018,0.1366
24.05.2017,26.06.2017,2017,0.1331
22.05.2014,11.07.2014,2014,0.0391
07.05.2013,06.05.2013,2013,0.1631
12.05.2005,16.05.2005,2005,0.1905
13.04.2004,12.04.2004,2004,0.1366
31.03.2003,03.03.2003,2003,1.05
12.04.2002,08.04.2002,2002,0.3324
