dividend declaration,closing registry,accounting year,dividend
20.05.2024,02.07.2024,2024,22.25
15.05.2023,27.06.2023,2023,18.83
29.11.2022,08.01.2023,2022,0.4435
04.05.2022,10.06.2022,2022,21.22
21.05.2021,29.06.2021,2021,15.17
06.05.2020,11.06.2020,2020,13.62
21.05.2019,01.07.2019,2019,11.14
11.05.2018,19.06.2018,2018,13.47
24.05.2017,26.06.2017,2017,8.11
22.05.2014,11.07.2014,2014,0.4556
07.05.2013,06.05.2013,2013,1.32
04.05.2012,04.05.2012,2012,1.52
11.05.2011,11.05.2011,2011,4.08
06.05.2010,11.05.2010,2010,3.49
28.04.2009,27.04.2009,2009,1.65
28.04.2008,18.04.2008,2008,0.9822
14.05.2007,08.05.2007,2007,0.4546
12.05.2005,16.05.2005,2005,0.64
13.04.2004,12.04.2004,2004,0.167
31.03.2003,01.07.2003,2003,1.05
12.04.2002,08.04.2002,2002,0.7653
