dividend declaration,closing registry,accounting year,dividend
25.07.2024,17.10.2024,2024,2.49
29.04.2024,10.06.2024,2024,2.75
25.10.2021,13.01.2022,2021,2.66
22.07.2021,27.09.2021,2021,3.53
21.04.2021,17.06.2021,2021,1.79
02.02.2021,17.06.2021,2021,0.945
22.10.2020,14.01.2021,2020,2.39
29.07.2020,23.09.2020,2020,0.607
05.02.2020,17.06.2020,2020,1.51
31.10.2019,15.01.2020,2019,1.65
01.08.2019,15.10.2019,2019,0.69
30.04.2019,20.06.2019,2019,1.49
11.02.2019,11.06.2019,2019,1.4
02.11.2018,18.12.2018,2018,2.11
02.08.2018,09.10.2018,2018,1.59
08.05.2018,25.06.2018,2018,0.801
06.02.2018,13.06.2018,2018,0.806
09.11.2017,19.12.2017,2017,1.11
28.08.2017,10.10.2017,2017,0.869
25.04.2017,06.06.2017,2017,1.24
26.08.2016,11.10.2016,2016,0.72
25.04.2016,07.06.2016,2016,0.31
30.09.2015,09.10.2015,2015,0.58
28.10.2014,23.12.2014,2014,0.58
23.11.2012,23.11.2012,2012,0.28
11.02.2011,04.04.2011,2011,0.33
16.04.2010,02.04.2010,2010,0.37
18.07.2008,21.07.2008,2008,0.382
24.03.2008,07.03.2008,2008,0.502
13.07.2007,16.07.2007,2007,0.418
28.02.2007,12.02.2007,2007,0.891
17.10.2006,13.10.2006,2006,0.91
18.07.2006,14.07.2006,2006,0.815
25.04.2006,07.04.2006,2006,0.593
20.03.2006,07.04.2006,2006,0.532
30.08.2005,01.10.2005,2005,0.655
