dividend declaration,closing registry,accounting year,dividend
31.05.2024,15.07.2024,2024,412.13
24.11.2023,11.01.2024,2023,412.13
10.11.2021,31.12.2021,2021,294.37
26.04.2021,25.06.2021,2021,245.31
18.11.2020,08.01.2021,2020,245.31
13.04.2020,19.06.2020,2020,157
18.11.2019,10.01.2020,2019,147.19
25.03.2019,14.06.2019,2019,166.78
31.10.2018,21.12.2018,2018,137.38
18.05.2018,06.07.2018,2018,135.5
27.07.2017,15.09.2017,2017,115.51
28.04.2017,23.06.2017,2017,67.41
31.10.2016,23.12.2016,2016,126.12
02.08.2016,23.09.2016,2016,84.6
08.04.2016,17.06.2016,2016,42.3
23.12.2015,08.01.2016,2015,179.77
30.07.2015,09.10.2015,2015,88.4
07.04.2015,19.06.2015,2015,132.57
30.10.2014,30.12.2014,2014,152.07
01.08.2014,10.10.2014,2014,78.3
04.04.2014,13.06.2014,2014,89.15
25.07.2013,09.08.2013,2013,46.06
20.03.2013,05.04.2013,2013,55.02
19.07.2012,27.07.2012,2012,21.15
23.04.2012,13.04.2012,2012,5.18
23.04.2012,13.04.2012,2012,18.26
19.04.2011,06.05.2011,2011,4.67
19.04.2011,06.05.2011,2011,6.57
28.04.2010,07.05.2010,2010,10.06
29.04.2009,08.05.2009,2009,1.46
26.06.2009,08.05.2009,2009,4.76
