dividend declaration,closing registry,accounting year,dividend
13.05.2019,11.07.2019,2019,232
14.05.2018,12.07.2018,2018,231
15.05.2017,13.07.2017,2017,233
13.05.2016,18.07.2016,2016,222
13.05.2015,08.07.2015,2015,56.27
14.05.2014,09.07.2014,2014,78.1
04.04.2011,31.03.2011,2011,197.94
27.05.2010,11.05.2010,2010,49.44
16.02.2010,15.02.2010,2010,20.16
20.05.2009,08.05.2009,2009,20.16
21.05.2008,10.05.2008,2008,46.98
24.05.2007,12.05.2007,2007,39.77
17.05.2005,02.05.2005,2005,11.78
19.05.2004,03.05.2004,2004,12.13
