dividend declaration,closing registry,accounting year,dividend
16.05.2024,04.07.2024,2024,0.0662
04.05.2023,23.06.2023,2023,0.0112
28.11.2022,08.01.2023,2022,0.034
13.05.2022,28.06.2022,2022,0.0338
29.04.2021,11.06.2021,2021,0.0335
26.11.2019,13.01.2020,2019,0.0201
29.04.2019,10.06.2019,2019,0.0208
25.04.2018,13.06.2018,2018,0.0208
16.05.2017,21.06.2017,2017,0.0442
29.04.2016,27.06.2016,2016,0.0108
21.05.2015,07.07.2015,2015,0.0197
22.05.2014,14.07.2014,2014,0.0018
12.04.2013,06.05.2013,2013,0.0204
11.04.2012,07.05.2012,2012,0.01
04.05.2011,12.05.2011,2011,0.0145
