dividend declaration,closing registry,accounting year,dividend
08.05.2024,28.06.2024,2024,0.0388
04.05.2023,23.06.2023,2023,0.00204
25.11.2022,08.01.2023,2022,0.0301
20.05.2022,27.06.2022,2022,0.0278
29.04.2021,15.06.2021,2021,0.0259
26.11.2019,14.01.2020,2019,0.0163
08.05.2019,25.06.2019,2019,0.0407
04.06.2018,12.06.2018,2018,0.0402
15.05.2017,16.06.2017,2017,0.0118
05.05.2016,27.06.2016,2016,0.0083636
13.05.2015,29.06.2015,2015,0.0031
26.05.2014,11.07.2014,2014,0.00563
16.04.2013,08.05.2013,2013,0.00425
16.04.2012,14.05.2012,2012,0.0028
13.04.2011,06.05.2011,2011,0.0012511
