dividend declaration,closing registry,accounting year,dividend
06.05.2024,14.06.2024,2024,0.0384
06.05.2024,14.06.2024,2024,0.0544
17.05.2023,23.06.2023,2023,0.00504
29.11.2022,08.01.2023,2022,0.0189
16.05.2022,28.06.2022,2022,0.0249
28.04.2020,09.06.2020,2020,0.0073
26.11.2019,14.01.2020,2019,0.0032
23.04.2019,03.06.2019,2019,0.003
26.04.2018,13.06.2018,2018,0.0216
15.05.2017,20.06.2017,2017,0.0083
04.05.2016,24.06.2016,2016,0.0142
12.05.2015,29.06.2015,2015,0.0058
26.05.2014,16.07.2014,2014,0.00102
12.04.2013,30.04.2013,2013,0.00179
03.05.2012,04.05.2012,2012,0.0028
18.04.2011,11.05.2011,2011,0.0028
