dividend declaration,closing registry,accounting year,dividend
04.06.2024,09.07.2024,2024,0.1604
26.05.2023,04.07.2023,2023,0.1865
02.06.2022,11.07.2022,2022,0.2231
26.05.2021,05.07.2021,2021,0.1794
28.05.2020,08.07.2020,2020,0.1207
07.05.2019,02.07.2019,2019,0.21
04.05.2018,18.06.2018,2018,0.1659
05.05.2017,14.06.2017,2017,0.0848
29.04.2016,17.06.2016,2016,0.0566
08.05.2015,24.06.2015,2015,0.01
30.04.2014,16.06.2014,2014,0.04
23.04.2013,23.04.2013,2013,0.03
12.05.2012,12.05.2012,2012,0.03
26.04.2011,12.05.2011,2011,0.02
05.05.2010,06.05.2010,2010,0.0126
22.06.2007,10.05.2007,2007,0.0104
27.03.2007,30.03.2007,2007,0.0212
22.11.2005,11.04.2006,2005,0.0161
23.05.2005,14.05.2005,2005,0.0221
28.04.2004,13.05.2004,2004,0.0217
