dividend declaration,closing registry,accounting year,dividend
24.05.2024,05.07.2024,2024,0.1428
22.05.2023,30.06.2023,2023,0.0121
29.11.2022,08.01.2023,2022,0.0849
30.05.2022,03.07.2022,2022,0.095
29.04.2021,01.06.2021,2021,0.0493
29.04.2020,09.06.2020,2020,0.0255
26.11.2019,14.01.2020,2019,0.0424
13.05.2019,25.06.2019,2019,0.059
28.04.2018,18.06.2018,2018,0.0316
18.05.2017,21.06.2017,2017,0.0312
07.06.2016,26.06.2016,2016,0.1297
22.05.2015,06.07.2015,2015,0.0422
23.05.2014,11.07.2014,2014,0.0597
06.05.2013,08.05.2013,2013,0.0882
15.05.2012,17.05.2012,2012,0.025
20.04.2011,12.05.2011,2011,0.0246
17.05.2010,17.05.2010,2010,0.0092389
26.09.2006,12.05.2006,2006,0.00177
