dividend declaration,closing registry,accounting year,dividend
24.04.2024,16.07.2024,2024,35
18.05.2023,29.06.2023,2023,34.29
17.05.2022,12.07.2022,2022,33.85
30.07.2021,12.10.2021,2021,10.55
16.04.2021,08.07.2021,2021,26.51
31.07.2020,12.10.2020,2020,8.93
09.04.2020,09.07.2020,2020,20.57
25.11.2019,10.01.2020,2019,13.25
30.07.2019,14.10.2019,2019,8.68
11.04.2019,09.07.2019,2019,19.98
30.07.2018,09.10.2018,2018,2.6
11.04.2018,09.07.2018,2018,23.4
31.07.2017,13.10.2017,2017,10.4
12.04.2017,10.07.2017,2017,15.6
01.08.2016,14.10.2016,2016,11.99
12.04.2016,05.07.2016,2016,14.01
31.07.2015,14.10.2015,2015,5.61
15.04.2015,07.07.2015,2015,19.56
01.08.2014,14.10.2014,2014,6.2
14.04.2014,07.07.2014,2014,18.6
02.08.2013,14.08.2013,2013,5.22
29.04.2013,08.05.2013,2013,14.6
12.04.2012,10.05.2012,2012,14.71
27.04.2011,10.05.2011,2011,14.54
20.05.2010,07.05.2010,2010,15.4
21.05.2009,08.05.2009,2009,20.15
16.04.2008,08.05.2008,2008,14.84
16.05.2007,14.05.2007,2007,9.67
23.05.2006,06.05.2006,2006,7.6
19.05.2005,03.05.2005,2005,5.75
25.06.2004,01.07.2004,2004,3.2
