dividend declaration,closing registry,accounting year,dividend
05.11.2024,16.12.2024,2024,17.12
23.08.2024,07.10.2024,2024,23.57
24.05.2024,12.07.2024,2024,6.93
24.11.2023,08.01.2024,2023,29.75
30.05.2023,12.07.2023,2023,14.62
20.08.2021,11.10.2021,2021,9.5
28.05.2021,12.07.2021,2021,6.27
31.12.2020,14.01.2021,2020,10.92
11.06.2020,27.07.2020,2020,0.96
29.11.2019,15.01.2020,2019,6.36
27.05.2019,09.07.2019,2019,6.96
01.11.2018,17.12.2018,2018,17.75
10.05.2018,26.06.2018,2018,5.66
01.11.2017,15.12.2017,2017,6.8
26.07.2017,08.09.2017,2017,7.41
29.05.2017,10.07.2017,2017,2.36
07.11.2016,21.12.2016,2016,9.46
04.05.2016,24.06.2016,2016,2.61
18.11.2015,20.12.2015,2015,14.79
