dividend declaration,closing registry,accounting year,dividend
24.05.2024,09.07.2024,2024,2.94
26.05.2023,11.07.2023,2023,1.49
23.05.2022,11.07.2022,2022,0.744
06.08.2021,20.09.2021,2021,9.54
16.03.2021,27.04.2021,2021,0.73
10.03.2020,10.07.2020,2020,9.07
11.03.2019,22.04.2019,2019,19.94
16.03.2016,04.05.2016,2016,4.34
23.03.2015,09.05.2015,2015,1.52
17.03.2014,03.05.2014,2014,1
22.02.2013,02.03.2013,2013,2.78
25.04.2012,26.04.2012,2012,2.36
15.02.2011,25.02.2011,2011,1.18
12.03.2010,25.02.2010,2010,0.07
27.04.2009,23.04.2009,2009,0.3098
18.04.2008,01.03.2008,2008,0.6715
