dividend declaration,closing registry,accounting year,dividend
11.04.2024,27.05.2024,2024,25.43
21.10.2021,07.12.2021,2021,13.33
22.07.2021,07.09.2021,2021,13.62
22.04.2021,23.06.2021,2021,7.71
11.02.2021,11.05.2021,2021,7.25
21.10.2020,29.12.2020,2020,6.43
23.07.2020,12.10.2020,2020,4.75
30.04.2020,13.07.2020,2020,3.21
24.04.2020,09.06.2020,2020,3.12
24.10.2019,09.01.2020,2019,3.22
26.07.2019,10.10.2019,2019,3.68
23.04.2019,19.06.2019,2019,7.34
04.03.2019,06.05.2019,2019,5.8
25.10.2018,09.01.2019,2018,6.04
31.07.2018,12.10.2018,2018,5.24
27.04.2018,20.06.2018,2018,5.73
07.03.2018,20.06.2018,2018,3.36
27.10.2017,09.01.2018,2017,5.13
28.07.2017,12.10.2017,2017,3.2
06.03.2017,14.06.2017,2017,3.38
28.04.2017,14.06.2017,2017,2.35
17.11.2016,09.01.2017,2016,3.63
15.08.2016,12.10.2016,2016,1.08
22.04.2016,14.06.2016,2016,1.13
22.04.2016,14.06.2016,2016,2.43
19.11.2015,08.01.2016,2015,1.95
13.08.2015,12.10.2015,2015,0.93
24.04.2015,16.06.2015,2015,1.64
24.04.2015,16.06.2015,2015,1.56
13.08.2014,11.10.2014,2014,0.88
16.04.2014,17.06.2014,2014,0.67
19.04.2013,24.04.2013,2013,0.62
10.04.2012,10.04.2012,2012,0.6
08.08.2011,15.08.2011,2011,1.4
08.04.2011,17.04.2011,2011,1.2
26.08.2010,25.08.2010,2010,0.62
16.04.2010,16.04.2010,2010,0.22
01.08.2008,01.08.2008,2008,2
21.04.2008,18.04.2008,2008,1.5
24.08.2007,25.08.2007,2007,1.5
17.04.2007,16.04.2007,2007,1.5
17.08.2006,15.08.2006,2006,1.5
