dividend declaration,closing registry,accounting year,dividend
27.05.2024,10.07.2024,2024,0.772
06.07.2023,12.07.2023,2023,0.798
06.07.2022,12.07.2022,2022,0.54
16.06.2020,28.07.2020,2020,1.35
22.05.2019,25.06.2019,2019,0.5
20.11.2018,09.01.2019,2018,0.2648
07.09.2018,09.10.2018,2018,0.5192
18.04.2017,29.05.2017,2017,0.7788
12.08.2016,14.09.2016,2016,0.467
24.06.2016,05.07.2016,2016,0.0519
13.05.2015,13.07.2015,2015,0.2336
14.04.2014,09.07.2014,2014,0.0234
12.04.2013,28.04.2013,2013,0.0236
09.04.2012,25.04.2012,2012,0.0235
28.04.2011,11.05.2011,2011,0.023
13.04.2010,19.04.2010,2010,0.125
16.04.2009,20.04.2009,2009,0.0265
09.04.2008,23.04.2008,2008,0.0185
09.04.2008,23.04.2008,2008,0.015
