dividend declaration,closing registry,accounting year,dividend
28.08.2024,11.10.2024,2024,35.5
09.02.2024,26.03.2024,2024,44.09
25.08.2023,10.10.2023,2023,34.5
17.03.2023,03.05.2023,2023,60.58
25.08.2022,09.10.2022,2022,45
18.03.2022,05.05.2022,2022,43.77
30.08.2021,11.10.2021,2021,27.67
19.03.2021,07.05.2021,2021,23.74
25.08.2020,12.10.2020,2020,11.82
23.03.2020,08.05.2020,2020,18.1
23.08.2019,10.10.2019,2019,14.23
19.03.2019,06.05.2019,2019,16.81
24.08.2018,10.10.2018,2018,9.25
13.03.2018,03.05.2018,2018,8
25.08.2017,10.10.2017,2017,6.95
14.03.2017,02.05.2017,2017,7
29.08.2016,11.10.2016,2016,6.9
16.03.2016,04.05.2016,2016,6.9
24.08.2015,06.10.2015,2015,6.6
12.03.2015,05.05.2015,2015,5.2
01.09.2014,27.10.2014,2014,5.1
04.03.2014,29.04.2014,2014,4.49
29.08.2013,16.09.2013,2013,3.4
19.03.2013,21.03.2013,2013,3.86
31.08.2012,10.09.2012,2012,3
20.03.2012,23.03.2012,2012,3.5
22.08.2011,08.09.2011,2011,2.5
24.03.2011,22.03.2011,2011,2.5
02.09.2010,09.09.2010,2010,1.5
25.03.2010,22.03.2010,2010,1.75
31.08.2009,09.09.2009,2009,1
07.04.2009,20.04.2009,2009,1.52
02.09.2008,24.07.2008,2008,1
21.04.2008,10.04.2008,2008,1.52
28.08.2007,03.09.2007,2007,0.83
17.04.2007,05.04.2007,2007,1.1
08.08.2006,31.07.2006,2006,0.00055
24.04.2006,21.04.2006,2006,0.523
01.11.2005,31.10.2005,2005,0.377
11.05.2005,25.04.2005,2005,0.256
14.10.2004,11.10.2004,2004,0.6428
14.05.2004,25.04.2004,2004,0.2515
