dividend declaration,closing registry,accounting year,dividend
07.11.2024,22.12.2024,2024,126
07.08.2024,22.09.2024,2024,117
28.05.2024,11.07.2024,2024,294
28.05.2024,11.07.2024,2024,15
09.11.2023,25.12.2023,2023,291
29.05.2023,11.07.2023,2023,264
03.03.2023,04.04.2023,2023,465
03.11.2022,19.12.2022,2022,318
18.08.2022,03.10.2022,2022,780
03.11.2021,20.12.2021,2021,234
06.08.2021,24.09.2021,2021,156
18.05.2021,05.07.2021,2021,105
14.04.2021,07.06.2021,2021,63
06.11.2020,25.12.2020,2020,123
28.08.2020,15.10.2020,2020,33
13.05.2020,06.07.2020,2020,78
21.02.2020,02.06.2020,2020,18
25.11.2019,04.02.2020,2019,48
02.09.2019,15.10.2019,2019,54
16.05.2019,10.07.2019,2019,72
20.03.2019,10.06.2019,2019,51
20.11.2018,04.02.2019,2018,72
23.08.2018,12.10.2018,2018,45
31.05.2018,23.07.2018,2018,24
21.03.2018,13.06.2018,2018,15
24.11.2017,12.03.2018,2017,21
23.08.2017,13.10.2017,2017,24
19.05.2017,17.07.2017,2017,21
22.03.2017,13.06.2017,2017,30
15.11.2016,27.01.2017,2016,39
17.08.2016,14.10.2016,2016,33
27.05.2016,10.08.2016,2016,63
23.03.2016,11.06.2016,2016,57
18.01.2016,26.01.2016,2016,63
17.08.2015,17.10.2015,2015,57
28.05.2015,25.07.2015,2015,48
28.04.2015,19.06.2015,2015,15
18.11.2014,11.01.2015,2014,20
19.08.2014,29.09.2014,2014,25
15.04.2014,24.06.2014,2014,19.3
21.08.2013,06.09.2013,2013,15.45
09.04.2013,22.04.2013,2013,19.9
20.11.2012,23.11.2012,2012,25
15.08.2012,22.08.2012,2012,38
13.04.2012,18.04.2012,2012,32.5
19.10.2011,26.10.2011,2011,25
