dividend declaration,closing registry,accounting year,dividend
23.10.2024,13.12.2024,2024,1301.75
24.08.2021,11.10.2021,2021,267.48
22.04.2021,07.06.2021,2021,387.15
07.09.2020,20.10.2020,2020,240.18
15.07.2020,28.08.2020,2020,244.75
22.08.2019,10.10.2019,2019,162.98
01.04.2019,16.05.2019,2019,143.62
24.08.2018,18.10.2018,2018,131.11
27.04.2018,10.06.2018,2018,147.12
14.08.2017,25.09.2017,2017,104.3
07.06.2017,17.07.2017,2017,152.41
21.10.2013,14.11.2013,2013,26.23
03.10.2012,15.10.2012,2012,62.95
29.09.2011,06.10.2011,2011,26.23
04.04.2011,12.04.2011,2011,11.25
19.07.2010,19.07.2010,2010,8.52
19.04.2010,13.04.2010,2010,9.28
30.07.2009,07.08.2009,2009,6.55
21.05.2008,21.05.2008,2008,2.95
28.04.2007,11.05.2007,2007,3.23
