dividend declaration,closing registry,accounting year,dividend
25.03.2024,06.05.2024,2024,2000
20.03.2023,02.05.2023,2023,2400
02.09.2022,11.10.2022,2022,2400
18.04.2022,30.05.2022,2022,1310
13.04.2021,25.05.2021,2021,901
13.05.2020,30.09.2020,2020,805.55
09.04.2019,27.05.2019,2019,1000
22.05.2018,03.07.2018,2018,500
26.05.2017,10.07.2017,2017,500
19.07.2016,29.08.2016,2016,200
01.06.2016,11.07.2016,2016,600
20.10.2014,15.12.2014,2014,880
09.06.2014,10.07.2014,2014,160
07.10.2013,09.10.2013,2013,880
07.06.2013,07.06.2013,2013,60
25.05.2012,28.05.2012,2012,1600
23.05.2011,01.06.2011,2011,1200
27.05.2010,01.06.2010,2010,357
28.07.2008,29.07.2008,2008,700
08.06.2007,15.05.2007,2007,1140
26.05.2006,24.04.2006,2006,667
