dividend declaration,closing registry,accounting year,dividend
08.11.2024,10.01.2025,2024,36.47
27.05.2024,09.07.2024,2024,29.01
15.11.2023,11.01.2024,2023,30.77
30.05.2023,11.07.2023,2023,17.97
14.11.2022,12.01.2023,2022,20.39
30.05.2022,11.07.2022,2022,23.63
24.08.2021,11.10.2021,2021,18.03
23.04.2021,15.06.2021,2021,6.94
23.04.2020,15.06.2020,2020,18.07
21.08.2019,11.10.2019,2019,15.34
16.04.2019,17.06.2019,2019,11.33
24.08.2018,09.10.2018,2018,14.58
25.04.2018,02.07.2018,2018,6.65
31.08.2017,10.10.2017,2017,3.83
24.04.2017,03.07.2017,2017,5.98
25.04.2016,27.06.2016,2016,11.75
23.04.2015,29.06.2015,2015,8.21
29.04.2014,08.07.2014,2014,12.85
05.03.2013,06.05.2013,2013,8.05
14.09.2012,21.09.2012,2012,4.08
07.03.2012,04.05.2012,2012,3.45
29.03.2011,21.04.2011,2011,2.76
27.04.2010,29.04.2010,2010,2.3
29.04.2009,30.04.2009,2009,1.92
24.03.2008,16.04.2008,2008,1.6
23.05.2007,23.05.2007,2007,1.33
