dividend declaration,closing registry,accounting year,dividend
13.08.2024,27.09.2024,2024,6.06
17.10.2023,01.12.2023,2023,5.45
31.05.2022,20.07.2022,2022,4.56
26.05.2021,12.07.2021,2021,5
03.07.2020,21.08.2020,2020,5
16.05.2019,04.07.2019,2019,2.5
29.11.2018,13.01.2019,2018,2.5
18.05.2018,08.07.2018,2018,5.05
16.05.2017,07.07.2017,2017,5.39
24.05.2016,08.07.2016,2016,5.92
18.05.2015,03.07.2015,2015,4.05
20.05.2014,14.07.2014,2014,4.85
26.04.2013,30.04.2013,2013,4.1
24.04.2012,28.04.2012,2012,4.7
10.05.2011,10.05.2011,2011,0.4344
30.08.2010,21.09.2010,2010,1.67
13.05.2010,07.05.2010,2010,2.1
21.04.2009,14.04.2009,2009,2.91
24.04.2008,22.04.2008,2008,3.88
16.04.2007,27.04.2007,2007,2.96
24.04.2006,05.05.2006,2006,3.72
20.04.2005,06.05.2005,2005,2.97
29.04.2004,11.05.2004,2004,3.25
17.04.2003,15.06.2003,2003,1.27
12.04.2002,14.04.2002,2002,0.9195
22.05.2001,09.05.2001,2001,0.4243
03.05.2000,08.05.2000,2000,0.8093
