dividend declaration,closing registry,accounting year,dividend
23.04.2024,11.07.2024,2024,33.3
17.03.2023,11.05.2023,2023,25
19.03.2021,12.05.2021,2021,18.7
17.03.2020,05.10.2020,2020,18.7
16.04.2019,13.06.2019,2019,16
18.04.2018,26.06.2018,2018,12
20.04.2017,14.06.2017,2017,6
12.04.2016,14.06.2016,2016,1.97
17.04.2015,15.06.2015,2015,0.45
11.04.2014,17.06.2014,2014,3.2
22.03.2013,11.04.2013,2013,3.2
16.03.2012,12.04.2012,2012,2.59
21.03.2011,15.04.2011,2011,1.15
19.03.2010,16.04.2010,2010,0.45
15.05.2009,08.05.2009,2009,0.63
19.05.2008,08.05.2008,2008,0.65
21.05.2007,12.05.2007,2007,0.465
16.02.2006,28.04.2006,2006,0.295
19.05.2005,07.05.2005,2005,0.1895
20.05.2004,01.05.2004,2004,0.144
27.05.2003,10.05.2003,2003,0.116
26.04.2002,06.05.2002,2002,0.057
27.06.2001,08.06.2001,2001,0.04
30.06.2000,12.06.2000,2000,0.0395
