dividend declaration,closing registry,accounting year,dividend
27.08.2024,14.10.2024,2024,51.96
21.05.2024,08.07.2024,2024,19.49
09.11.2023,27.12.2023,2023,82.94
23.05.2023,10.07.2023,2023,12.16
16.11.2022,30.12.2022,2022,69.78
18.05.2022,08.07.2022,2022,16
15.11.2021,28.12.2021,2021,40
11.05.2021,25.06.2021,2021,10
17.11.2020,29.12.2020,2020,5
28.04.2020,26.06.2020,2020,19.82
02.10.2019,18.10.2019,2019,18.14
22.04.2019,01.07.2019,2019,7.95
13.11.2018,28.12.2018,2018,22.05
23.04.2018,26.06.2018,2018,5
09.11.2017,29.12.2017,2017,10
21.04.2017,26.06.2017,2017,10.68
18.04.2016,27.06.2016,2016,0.55
13.08.2015,16.10.2015,2015,5.92
01.04.2015,22.06.2015,2015,1.85
12.08.2014,17.10.2014,2014,4.62
31.03.2014,23.06.2014,2014,5.29
22.08.2013,25.08.2013,2013,4.09
15.04.2013,23.04.2013,2013,9.3
09.04.2012,24.04.2012,2012,7.3
15.04.2011,25.04.2011,2011,4.44
18.05.2010,14.05.2010,2010,3.57
14.05.2009,15.05.2009,2009,5.4
29.04.2008,15.05.2008,2008,5.4
22.05.2007,18.05.2007,2007,8.08
23.05.2006,05.05.2006,2006,7.9
26.05.2005,27.07.2005,2005,13.91
21.10.2003,30.09.2003,2003,1.46
25.07.2003,31.07.2003,2003,6.44
30.10.2001,02.11.2001,2001,2.32
17.08.2001,03.08.2001,2001,3.79
11.10.2000,30.09.2000,2000,0.3
