dividend declaration,closing registry,accounting year,dividend
24.05.2021,05.07.2021,2021,0.0010706
26.05.2020,07.07.2020,2020,0.0010365
07.05.2019,26.06.2019,2019,0.0006446
04.05.2018,25.06.2018,2018,0.0004898
16.05.2017,07.07.2017,2017,0.0003453
01.04.2016,07.07.2016,2016,0.000243
28.04.2015,10.07.2015,2015,0.0002254
15.04.2014,04.07.2014,2014,0.000167
23.04.2013,30.04.2013,2013,0.0001218
23.04.2012,02.05.2012,2012,0.0000487
25.04.2011,12.05.2011,2011,0.0000468
21.04.2010,12.05.2010,2010,0.0000437
17.04.2007,07.05.2007,2007,0.0001034
11.05.2007,07.05.2007,2007,0.0000284
