dividend declaration,closing registry,accounting year,dividend
19.04.2024,04.06.2024,2024,9.51
26.07.2023,05.09.2023,2023,13.45
15.12.2022,31.01.2023,2022,6.78
30.08.2022,09.09.2022,2022,9.68
20.05.2022,27.05.2022,2022,0.82
30.07.2021,17.09.2021,2021,17.71
12.03.2021,26.04.2021,2021,9.67
23.10.2020,07.12.2020,2020,3
27.05.2019,18.07.2019,2019,2.55
27.04.2018,02.07.2018,2018,2.28
28.04.2017,20.06.2017,2017,1.96
26.08.2016,10.10.2016,2016,1.94
28.08.2015,23.10.2015,2015,2.42
31.10.2014,12.01.2015,2014,0.397
18.04.2014,07.07.2014,2014,0.78
19.09.2013,04.10.2013,2013,1.04
08.05.2013,20.05.2013,2013,0.84
20.09.2012,27.09.2012,2012,1.5
18.05.2012,21.05.2012,2012,2.7
26.09.2011,03.10.2011,2011,0.93
20.05.2011,19.05.2011,2011,0.85
25.05.2009,21.05.2009,2009,1.44
07.10.2008,03.10.2008,2008,1.75
20.05.2008,15.05.2008,2008,1.03
13.11.2007,08.11.2007,2007,3.63
22.05.2007,01.07.2007,2007,4.3
