dividend declaration,closing registry,accounting year,dividend
24.06.2024,18.07.2024,2024,177.2
14.06.2023,20.07.2023,2023,166.65
29.06.2022,20.07.2022,2022,104.97
24.05.2021,19.07.2021,2021,92.24
29.09.2020,20.10.2020,2020,116.12
25.06.2019,20.07.2019,2019,107.06
01.06.2018,10.07.2018,2018,75.78
02.06.2017,19.09.2017,2017,38.75
02.06.2017,20.07.2017,2017,42.96
10.06.2016,20.07.2016,2016,8.23
29.05.2015,20.07.2015,2015,7.58
27.05.2014,20.07.2014,2014,7.24
24.05.2013,30.05.2013,2013,6.85
28.03.2012,24.05.2012,2012,7.17
24.05.2011,24.05.2011,2011,3.15
28.04.2010,28.05.2010,2010,2.5
29.05.2009,28.05.2009,2009,2.37
08.05.2008,26.05.2008,2008,2.59
29.05.2007,01.07.2007,2007,2.25
31.05.2006,31.05.2006,2006,2.96
23.11.2005,19.11.2005,2005,3.22
28.05.2004,01.07.2004,2004,10.19
15.05.2003,20.05.2003,2003,8.65
28.06.2002,17.05.2002,2002,8.98
04.09.2001,01.10.2001,2001,7.07
