dividend declaration,closing registry,accounting year,dividend
26.03.2024,27.05.2024,2024,0.0489
07.03.2023,18.04.2023,2023,0.0508
28.03.2022,18.05.2022,2022,0.0428
09.04.2021,01.06.2021,2021,0.0393
17.03.2020,13.05.2020,2020,0.0202
19.03.2019,14.05.2019,2019,0.0193
03.05.2018,15.05.2018,2018,0.0192
21.03.2017,16.05.2017,2017,0.0091
17.03.2016,10.05.2016,2016,0.0114
17.03.2015,12.05.2015,2015,0.005
18.03.2014,19.05.2014,2014,0.0107
21.02.2013,11.03.2013,2013,0.0106
21.02.2012,12.03.2012,2012,0.0102
09.03.2011,14.03.2011,2011,0.00944
23.03.2010,11.03.2010,2010,0.005554
20.03.2009,11.03.2009,2009,0.0101
16.05.2008,07.05.2008,2008,0.0126
19.04.2007,07.05.2007,2007,0.0101
