dividend declaration,closing registry,accounting year,dividend
02.11.2021,17.12.2021,2021,0.1903
06.05.2021,22.06.2021,2021,0.1269
03.11.2020,20.12.2020,2020,0.111
07.05.2020,22.06.2020,2020,0.111
08.11.2019,15.12.2019,2019,0.111
13.05.2019,25.06.2019,2019,0.111
02.11.2018,18.12.2018,2018,0.111
11.05.2018,03.07.2018,2018,0.111
09.11.2017,18.12.2017,2017,0.111
19.05.2017,04.07.2017,2017,0.0173
19.05.2017,04.07.2017,2017,0.0937
03.11.2016,19.12.2016,2016,0.0431
03.11.2016,19.12.2016,2016,0.0727
22.04.2016,04.07.2016,2016,0.1973
05.05.2015,07.07.2015,2015,0.2776
12.05.2014,07.07.2014,2014,0.3002
12.05.2014,07.07.2014,2014,0.0793
07.05.2013,17.05.2013,2013,0.2895
04.05.2012,14.05.2012,2012,0.0579
