dividend declaration,closing registry,accounting year,dividend
17.05.2024,03.06.2024,2024,564
03.05.2023,05.06.2023,2023,563.8
17.05.2023,05.06.2023,2023,563.77
27.05.2022,11.07.2022,2022,563.76
27.08.2019,11.10.2019,2019,884.6
16.04.2019,03.06.2019,2019,873.42
24.08.2018,12.10.2018,2018,756
16.04.2018,06.06.2018,2018,890.45
25.08.2017,19.10.2017,2017,762.68
14.04.2017,05.06.2017,2017,1300
19.08.2016,03.10.2016,2016,816
15.04.2016,27.05.2016,2016,458.22
12.08.2015,09.10.2015,2015,788
20.04.2015,28.05.2015,2015,831.07
07.05.2014,17.06.2014,2014,533.91
24.05.2013,24.05.2013,2013,279.83
25.05.2012,24.05.2012,2012,26.52
06.05.2011,06.05.2011,2011,5.1
24.05.2010,21.05.2010,2010,1.5
27.05.2009,25.05.2009,2009,23.14
30.06.2008,15.05.2008,2008,53.92
22.05.2007,21.05.2007,2007,50.83
15.05.2006,12.05.2006,2006,37.88
03.05.2005,28.04.2005,2005,29
