dividend declaration,closing registry,accounting year,dividend
23.04.2021,15.07.2021,2021,0.0013827
23.04.2021,15.07.2021,2021,0.0000174
21.08.2020,05.10.2020,2020,0.0007735
23.04.2019,24.06.2019,2019,0.0010987
16.04.2018,04.06.2018,2018,0.0034535
23.03.2017,10.05.2017,2017,0.00117
13.05.2016,04.07.2016,2016,0.00117
15.05.2015,06.07.2015,2015,0.00117
15.05.2014,01.07.2014,2014,0.00116
26.04.2013,13.05.2013,2013,0.00143
25.04.2012,26.04.2012,2012,0.00088
19.04.2011,21.04.2011,2011,0.00058
14.04.2010,16.04.2010,2010,0.00058
14.05.2009,13.05.2009,2009,0.000447
28.04.2008,07.05.2008,2008,0.00134
25.06.2007,07.05.2007,2007,0.00066
